value,n,pct
PW,60,0.001305132040208508
TV,59,0.001283379839538366
WF,56,0.0012181232375279407
GU,54,0.0011746188361876572
XY,51,0.0011093622341772317
LI,50,0.0010876100335070898
XH,49,0.0010658578328369482
TF,49,0.0010658578328369482
AQ,48,0.0010441056321668063
BL,47,0.0010223534314966645
VG,42,0.0009135924281459555
NR,40,0.0008700880268056719
MS,36,0.0007830792241251048
GG,36,0.0007830792241251048
MF,34,0.0007395748227848211
XP,33,0.0007178226221146793
TC,32,0.0006960704214445375
SJ,30,0.000652566020104254
BQ,30,0.000652566020104254
SX,29,0.0006308138194341122
SH,29,0.0006308138194341122
BM,24,0.0005220528160834032
MC,23,0.0005003006154132613
XR,23,0.0005003006154132613
AI,20,0.00043504401340283596
XU,12,0.0002610264080417016
UM,11,0.00023927420737155977
GS,11,0.00023927420737155977
GI,10,0.00021752200670141798
XI,9,0.0001957698060312762
CX,8,0.00017401760536113437
PM,8,0.00017401760536113437
XE,7,0.00015226540469099258
XZ,7,0.00015226540469099258
XQ,7,0.00015226540469099258
XS,6,0.0001305132040208508
CC,6,0.0001305132040208508
TK,6,0.0001305132040208508
IO,6,0.0001305132040208508
XC,6,0.0001305132040208508
VA,5,0.00010876100335070899
XX,5,0.00010876100335070899
XJ,4,8.700880268056719e-05
NF,4,8.700880268056719e-05
XT,3,6.52566020104254e-05
XO,3,6.52566020104254e-05
,3,6.52566020104254e-05
PN,2,4.350440134028359e-05
CP,2,4.350440134028359e-05
HM,2,4.350440134028359e-05
XA,1,2.1752200670141797e-05
XN,1,2.1752200670141797e-05
XD,1,2.1752200670141797e-05
XM,1,2.1752200670141797e-05
XB,1,2.1752200670141797e-05
XL,1,2.1752200670141797e-05
BV,1,2.1752200670141797e-05
