category,n,pct
diagnostic_services,37977,0.04407522217674567
art_museum,37961,0.04405665294919141
clothing_company,37528,0.043554123228504396
ceiling_and_roofing_repair_and_service,37396,0.04340092710118179
metal_supplier,37317,0.04330924154013266
health_spa,37092,0.04304811177765096
buffet_restaurant,37067,0.043019097359597434
comic_books_store,36582,0.042456217649359085
life_coach,36533,0.04239934938997418
business_consulting,36507,0.042369174395198515
garbage_collection_service,36461,0.04231578786598004
food_truck,36282,0.04210804463271681
surgical_appliances_and_supplies,36170,0.04197806003983703
turkish_restaurant,36095,0.04189101678567646
books_mags_music_and_video,35998,0.04177844084362879
public_utility_company,35995,0.041774959113462365
home_security,35977,0.04175406873246383
library,35908,0.04167398893863611
personal_care_service,35832,0.0415857851077534
korean_restaurant,35718,0.04145347936142933
day_spa,35374,0.041054240969012855
bicycle_shop,35157,0.04080239582030828
souvenir_shop,35050,0.040678214111039196
sewing_and_alterations,34954,0.04056679874571367
parking,34775,0.04035905551245045
beauty_product_supplier,34713,0.04028709975567771
machine_shop,34684,0.04025344303073562
pet_groomer,34383,0.03990410943737121
chiropractor,34349,0.03986464982881842
fabric_store,34227,0.03972305946871722
car_inspection,34067,0.039537367193174675
football_stadium,34057,0.039525761425953265
service_apartments,33932,0.03938068933568565
television_service_providers,33833,0.039265792240193706
glass_and_mirror_sales_service,33736,0.039153216298146026
used_vintage_and_consignment,33374,0.03873308752473102
organization,33193,0.03852302313802351
carpet_store,33046,0.0383524183598688
car_buyer,32894,0.03817601069810338
appliance_store,32812,0.038080843406887825
party_supply,32731,0.03798683669239441
furniture_assembly,32655,0.0378986328615117
health_food_restaurant,32639,0.03788006363395745
cinema,32502,0.03772106462302414
kiosk,32159,0.0373229868073298
laundromat,32083,0.03723478297644709
train_station,31895,0.0370165945526846
brake_service_and_repair,31710,0.036801887859088535
tattoo_and_piercing,31570,0.036639407117988805
brokers,31341,0.03637363504861853
coffee_roastery,31299,0.03632489082628861
solar_installation,31260,0.03627962833412512
metals,31253,0.036271504297070135
antique_store,31141,0.03614151970419035
iron_and_steel_industry,31080,0.03607072452413976
painting,30922,0.03588735340204149
swimming_pool,30752,0.03569005535927753
masonry_concrete,30681,0.03560765441200552
playground,30488,0.035383663104632326
nutritionist,30447,0.03533607945902455
airport,30373,0.03525019678158612
island,30319,0.03518752563859052
vegetarian_restaurant,30289,0.03515270833692628
roadside_assistance,30271,0.03513181795592775
religious_school,30040,0.0348637247331132
hybrid_car_repair,30028,0.03484979781244751
exhaust_and_muffler_repair,30023,0.0348439949288368
b2b_electronic_equipment,29864,0.03465946323001639
nurse_practitioner,29717,0.03448885845186168
aquatic_pet_store,29597,0.034349589245204766
auto_restoration_services,29438,0.03416505754638437
janitorial_services,29067,0.03373448358247008
oil_change_station,28904,0.03354530957676111
political_organization,28826,0.03345478459243412
german_restaurant,28664,0.0332667711634473
media_news_company,28486,0.03306018850690621
credit_union,28465,0.03303581639574125
countertop_installation,28392,0.03295109429502496
office_equipment,28325,0.032873335654641525
internal_medicine,28221,0.03275263567553886
wildlife_sanctuary,28196,0.03272362125748535
pediatric_dentist,28109,0.032622651082659083
internet_cafe,28029,0.03252980494488781
organic_grocery_store,27992,0.03248686360616859
topic_publisher,27805,0.03226983575912824
real_estate_investment,27700,0.032147975203303446
pentecostal_church,27491,0.03190541466837599
yoga_studio,27413,0.031814889684049004
b2b_agriculture_and_food,27133,0.031489928201849544
educational_research_institute,27010,0.03134717726502621
environmental_conservation_and_ecological_organizations,26867,0.03118121479376006
martial_arts_club,26597,0.030867859078782013
car_rental_agency,26592,0.03086205619517131
language_school,26576,0.030843486967617056
criminal_defense_law,26575,0.03084232639089491
nature_reserve,26365,0.03059860527924532
environmental_conservation_organization,26252,0.030467460109643397
motorsports_store,26075,0.030262038029824453
divorce_and_family_law,26061,0.030245789955714482
medical_research_and_development,26018,0.030195885156662418
test_preparation,25940,0.030105360172335432
womens_health_clinic,25895,0.030053134219839087
wholesale_grocer,25528,0.02962720256281337
b2b_jewelers,25496,0.029590064107704865
bike_repair_maintenance,25371,0.02944499201743725
environmental_and_ecological_services_for_businesses,25212,0.02926046031861684
arcade,24987,0.028999330556135135
cleaning_services,24955,0.028962192101026626
armed_forces_branch,24802,0.028784623862539063
british_restaurant,24735,0.028706865222155625
baptist_church,24715,0.028683653687712803
halal_restaurant,24526,0.028464304687228173
party_and_event_planning,24470,0.028399312390788276
taxi_service,24437,0.028361013358957632
comfort_food_restaurant,24434,0.02835753162879121
social_media_agency,24324,0.02822986818935571
brewery,24153,0.028031409569869607
soccer_field,24117,0.027989628807872535
eye_care_clinic,24053,0.027915351897655517
dance_school,24028,0.02788633747960199
salad_bar,23957,0.027803936532329987
comedy_club,23667,0.02746736928290912
lumber_store,23593,0.027381486605470694
oral_surgeon,23507,0.027281677007366573
emergency_room,23464,0.027231772208314516
marketing_consultant,23380,0.027134283763654676
home_health_care,23372,0.027124999149877548
pediatrician,23347,0.02709598473182403
auto_parts_and_supply_store,23341,0.027089021271491185
damage_restoration,23194,0.026918416493336466
photography_store_and_services,22835,0.026501769450087878
horseback_riding_service,22663,0.02630215025387964
bubble_tea,22466,0.02607351663961788
